"phrase","module"
"сколько ехать до","taxi"
"сколько стоит поездка до","taxi"
"сколько стоит проехать до","taxi"
"сколько времени займет поездка до","taxi"
"поехали в","taxi"
"поехали домой","taxi"
"что-то я устал поехали домой","taxi"
"давай домой поедем что ли","taxi"
"что-то я устал","taxi"
"такси вызывай","taxi"
"закажи такси","taxi"
"го на такси","taxi"
"сегодня давай на такси домой поедем","taxi"
"какая погода на улице","weather"
"будет завтра погода","weather"
"что с погодой","weather"
"как сегодня на улице","weather"
"какая погода будет во вторник","weather"
"какая погода будет завтра","weather"
"какая погода будет 1","weather"
"облачно ли улице","weather"
"брать ли мне сегодня зонт","weather"
"сегодня будет жарко","weather"
"есть дождь на улице","weather"
"брать мне зонт","weather"
"холодно ли улице","weather"
"жакро ли на улице","weather"
"будет ли сегодня дождь","weather"
"будет ли в понедельник дождь","weather"
"на улице жарко","weather"
"на улице холодно","weather"
"на улице дождь","weather"
"тучи собираются","weather"
"кажется будет гроза","weather"
"на улице гроза началась","weather"
"там есть дождь","weather"
"что на счёт дождя","weather"
"что за окном","weather"
"мне ждать сегодня дождь","weather"
"я беру зонт","weather"
"какие сегодня пары","timetable"
"сегодня будут пары","timetable"
"будут ли занятия завтра","timetable"
"что завтра по парам будет","timetable"
"идти завтра институт или нет","timetable"
"какие сегодня есть занятия","timetable"
"какое занятие следующее","timetable"
"какая пара следующяя","timetable"
"какие завтра занятия","timetable"
"какие занятия будут в понедельник","timetable"
"какие занятия будут 1 числа","timetable"
"завтра есть пары","timetable"
"сегодня есть занятия в универе","timetable"
"будет ли сегодня занятие","timetable"
"какое расписание на","timetable"
"пришли мне расписание","timetable"
"пришли мне расписание на сегодня","timetable"
"скинь мне расписание на завтра","timetable"
"включи свет","light"
"включи свет в 8 часов вечера","light"
"выключи свет","light"
"выключи свет в восемь часов утра","light"
"мне темно","light"
"у нас дома темно","light"
"дома слишком темно","light"
"включи лампу","light"
"включи светильник","light"
"включи ночник","light"
"включи лампочки","light"
"включи подсветку дома","light"
"включи люстру","light"
"выключи лампу","light"
"выключи ночник","light"
"выключи светильник","light"
"выключи люстру","light"
"выключи лампочки","light"
"выключи подсветку дома","light"
"работает ли там сайт","ping"
"что там с сайтом","ping"
"не упал ли сайт","ping"
"как там сайт поживает","ping"
"работает ли там сервис","ping"
"что там с сервис","ping"
"не упал ли сервис","ping"
"как там сервис поживает","ping"
"работает ли там проект","ping"
"что там с проект","ping"
"не упал ли проект","ping"
"как там проект поживает","ping"
"работает ли там сервер","ping"
"что там с сервер","ping"
"не упал ли сервер","ping"
"как там сервер поживает","ping"
"поставь будильник на","alarm"
"включи будильник в","alarm"
"разбуди меня завтра","alarm"
"разбуди меня в","alarm"
"мне надо завтра встать в","alarm"
"мне нужнозавтра встать в","alarm"
"мне надо в понедельник встать в","alarm"
"мне нужно в понедельник встать в","alarm"
"убери будильник на понедельник","alarm"
"удали будильник на понедельник","alarm"
"выключи все будильники","alarm"
"выключи будильник","alarm"
"скажи какие есть будильники","alarm"
"завтра не буди","alarm"
"не включай завтра будильник","alarm"
"скажи какие будильники включены","alarm"
"есть на завтра будильник","alarm"
"есть ли установленные будильники на понедельник","alarm"
"есть работающие будильники","alarm"
"поставь таймер на 5 минут","timer"
"включи таймер минут на 5","timer"
"выключи таймер","timer"
"запусти таймер","timer"
"отключи таймер","timer"
"у тебя есть запущенные таймеры","timer"
"засеки несколько минут","timer"
"засеки 5 минут","timer"
"засеки 1 час","timer"
"таймер на несколько минут","timer"
"запусти минут на 5 таймер","timer"
"включи музыку","music"
"включи альбом","music"
"включи песню","music"
"хочу что-нибудь послушать","music"
"включи следующий трек","music"
"включи следующую песню","music"
"включи другого исполнителя","music"
"сделай тише","music"
"сделай громче","music"
"выключи звук","music"
"останови музыку","music"
"выключи музыку","music"
"хочу послушать что-нибудь новое","music"
"включи исполнителя","music"
"включи группу","music"
"поставь песню","music"
"поставь группу","music"
"поставь трек","music"
"что выходит на этой неделе","movies"
"какие новые фильмы появились в прокате","movies"
"что сейчас идёт в кино","movies"
"что можно посмотреть вечером","movies"
"какой фильм можешь посоветовать","movies"
"ты знаешь про фильм","movies"
"я тут слышал про фильм","movies"
"хочу что-нибудь посмотреть вечером","movies"
"какой лучший фильм этого года","movies"
"на что сходить в кино","movies"
"что идет в кинотеатрах","movies"
"что-нибудь знаешь о новых фильмах","movies"
